Name,TargetPool,TargetSomite,TargetCell,LeftRight,DelayPerSomite,DelaySagittal,Active,Mode,Value1,Value2,Frequency,Periods
Fast DH - 1,V2a-Type-I-DH,All somites,All cells,Both,0.03,10,TRUE,Gaussian,500,1,0,100 - 600
Fast DM - 1,V2a-Type-I-DM,All somites,All cells,Both,0.03,10,TRUE,Gaussian,500,1,0,100 - 600
Fast DH - 2,V2a-Type-I-DH,All somites,All cells,Both,0.03,10,TRUE,Gaussian,900,1,0,900 - 1400
Fast DM - 2,V2a-Type-I-DM,All somites,All cells,Both,0.03,10,TRUE,Gaussian,900,1,0,900 - 1400
Fast DH - 3,V2a-Type-I-DH,All somites,All cells,Both,0.03,10,TRUE,Gaussian,1200,1,0,1700 - 2200
Fast DM - 3,V2a-Type-I-DM,All somites,All cells,Both,0.03,10,TRUE,Gaussian,1200,1,0,1700 - 2200
Fast DH - 4,V2a-Type-I-DH,All somites,All cells,Both,0.03,10,TRUE,Gaussian,1500,1,0,2500 - 3000
Fast DM - 4,V2a-Type-I-DM,All somites,All cells,Both,0.03,10,TRUE,Gaussian,1500,1,0,2500 - 3000
Fast DH - 5,V2a-Type-I-DH,All somites,All cells,Both,0.03,10,TRUE,Gaussian,1900,1,0,3300 - 3800
Fast DM - 5,V2a-Type-I-DM,All somites,All cells,Both,0.03,10,TRUE,Gaussian,1900,1,0,3300 - 3800
