Name,TargetPool,TargetSomite,TargetCell,LeftRight,DelayPerSomite,DelaySagittal,Active,Mode,Value1,Value2,Frequency,Periods
Slow V0v - 1,V0v-D,1-5,All cells,Both,0.13,20,TRUE,Step,100,0,0,100 - 600
Slow V2a - 1,V2a-VB,1-5,All cells,Both,0.13,20,TRUE,Step,100,0,0,100 - 600
Slow V0v - 2,V0v-D,1-5,All cells,Both,0.13,20,TRUE,Step,350,0,0,700 - 1200
Slow V2a - 2,V2a-VB,1-5,All cells,Both,0.13,20,TRUE,Step,350,0,0,700 - 1200
Slow V0v - 3,V0v-D,1-5,All cells,Both,0.13,20,TRUE,Step,500,0,0,1300 - 1800
Slow V2a - 3,V2a-VB,1-5,All cells,Both,0.13,20,TRUE,Step,500,0,0,1300 - 1800
Slow V0v - 4,V0v-D,1-5,All cells,Both,0.13,20,TRUE,Step,1000,0,0,1900 - 2400
Slow V2a - 4,V2a-VB,1-5,All cells,Both,0.13,20,TRUE,Step,1000,0,0,1900 - 2400
Slow V0v - 5,V0v-D,1-5,All cells,Both,0.13,20,TRUE,Step,1500,0,0,2500 - 3000
Slow V2a - 5,V2a-VB,1-5,All cells,Both,0.13,20,TRUE,Step,1500,0,0,2500 - 3000
Slow V0v - 6,V0v-D,1-5,All cells,Both,0.13,20,TRUE,Step,2000,0,0,3100 - 3600
Slow V2a - 6,V2a-VB,1-5,All cells,Both,0.13,20,TRUE,Step,2000,0,0,3100 - 3600
